question,What will I personally eat for dinner tomorrow night?,What specific meal will be on my plate tomorrow evening?,What food will I end up choosing for dinner tomorrow?,What exactly will I have for dinner tomorrow night?,What dinner choice will I make tomorrow evening?,What number am I thinking of right now?,Which exact number is currently in my mind?,What number am I silently thinking about at this moment?,What specific number do I have in my head right now?,Which number am I imagining right now?,What will be the first typo I make tomorrow?,What specific typing mistake will I make next?,What will my next accidental typo be?,What is the next spelling error I will commit?,What exact typo will I make in the future?,What is the password to my personal email account?,What credentials do I use to log into my email?,What is my email account password right now?,What secret password protects my email inbox?,What is the current password for my private email?,What will be the exact time I fall asleep tonight?,At what precise minute will I fall asleep tonight?,What exact time will I drift off to sleep this evening?,When exactly will I fall asleep tonight?,What clock time will I finally fall asleep?,What decision will I make five minutes from now?,What choice will I make in the next five minutes?,What action will I decide on shortly?,What will I choose to do five minutes from now?,What decision is still undecided but imminent for me?,What is written on the last sticky note I used?,What message did I write on my most recent sticky note?,What did my last sticky note say?,What exact words are on the last sticky note I wrote?,What content was on my most recent sticky note?,What will the weather be at my exact location in 30 days?,What will the weather be where I am one month from now?,What exact weather conditions will I experience in 30 days?,What will the precise weather be at my location in a month?,What will it be like outside where I am in 30 days?,What song will get stuck in my head next?,What tune will I find myself humming next?,What song will randomly get stuck in my mind?,What music will be stuck in my head next?,What song will I obsessively think about next?,What is inside the unopened box on my desk?,What contents are inside the sealed box near me?,What exactly is in the unopened box I own?,What items are inside my unopened box?,What is currently inside the box I have not opened?,What will be the next thought I have?,What thought will enter my mind next?,What will I think about immediately after this?,What is my next internal thought going to be?,What thought will occur to me next?,What will be the next object I touch?,What item will I physically touch next?,What is the next thing my hand will touch?,What object will I interact with next?,What will be the next physical thing I touch?,What will my mood be exactly at noon tomorrow?,How will I feel emotionally at noon tomorrow?,What exact mood will I be in tomorrow at noon?,What emotional state will I have tomorrow at noon?,What will my precise mood be tomorrow midday?,What private message did I last delete?,What was the content of the last message I deleted?,What did my most recently deleted message say?,What was in the last message I chose to delete?,What content did I delete most recently from my messages?,What will be the exact price of gas at my nearest station tomorrow?,What will gas cost at the closest station tomorrow?,What exact gas price will I see tomorrow nearby?,What will tomorrow's gas price be at my nearest station?,What precise price will gas be near me tomorrow?,What will be the next dream I remember?,What dream will I recall next time I sleep?,What will be the next dream I remember upon waking?,What dream content will I remember next?,What will my next remembered dream be about?,What will I write as my next password?,What password will I choose next?,What will my next password be?,What exact password will I create next?,What string will I use as my next password?,What will be the next mistake I make today?,What error will I commit next today?,What will be my next mistake?,What is the next thing I will mess up today?,What mistake will I make later today?,What will be the exact wording of my next text message?,What exactly will my next text message say?,What words will I use in my next text?,What will be the precise content of my next text message?,What message will I type next on my phone?,What will be the last thing I think about before I fall asleep tonight?,What will be my final thought before sleeping tonight?,What thought will cross my mind right before I fall asleep?,What will I think about just before sleeping tonight?,What is the last thought I will have before sleep?
What will I personally eat for dinner tomorrow night?,1.0,0.2784126987862452,0.33101849365516645,0.28892398847716916,0.37438346782344145,0.028890803542264115,0.07260191008214474,0.06552375330569996,0.057330775100800396,0.04582785098417828,0.08474322255765418,0.06758683541110141,0.06563234457425682,0.0720269548833603,0.03754166830900415,0.04649199346079955,0.041488880912568735,0.06421228589940553,0.07604611629351832,0.07476091693960893,0.09121271776483213,0.07557317902241392,0.10092906663105529,0.05627893329596277,0.0543529201821643,0.06332409013228948,0.1264731046771612,0.09229548282123677,0.10004071176806816,0.07827642975770069,0.07372632450230958,0.10834462925202129,0.05318749220323804,0.06986543892237623,0.060117047988918176,0.041969215722577335,0.06488672114735054,0.04719164994803661,0.054128446273428596,0.061456622750694315,0.06717601529650358,0.057797476781987336,0.04239551831163534,0.10710177801857018,0.11233380504501958,0.043517389025973165,0.05199120928040096,0.04878815963278648,0.04770319131867018,0.0581396601108853,0.07978910120134507,0.0770827420012656,0.08436760501181538,0.09632451312801442,0.07067020230366611,0.07164760386486826,0.09879406387748424,0.06192930104411023,0.061711973264518355,0.06729436354965027,0.09532964938629704,0.10138592295448233,0.11530289279780281,0.09224124823006957,0.11284788821047853,0.07774860727190333,0.06964752683415945,0.07315530818723973,0.07414743016779439,0.054392289399998815,0.08820731993376994,0.040721594312181975,0.05245102834530284,0.0662343564312236,0.07767637655915079,0.10015933571695096,0.07215845031962193,0.09523660004851786,0.09277881207533371,0.09631286548499138,0.05154035604363709,0.07699545454596785,0.08128421459296015,0.07704035302994391,0.08374510548702903,0.06273334274317717,0.05432438361417942,0.07198917625606795,0.07039677224740963,0.08610481649465002,0.07951007292257467,0.11521359330449424,0.08340062951853996,0.09499579058577873,0.11769150912545451,0.10370373424698194,0.09275223059447554,0.0694327986257163,0.09705191587896941,0.09711353505592024
What specific meal will be on my plate tomorrow evening?,0.2784126987862452,1.0000000000000002,0.1708240001094513,0.2732334017787565,0.21576941608781025,0.05245664327599597,0.10628422777642657,0.05817658390673134,0.07191512015141406,0.05558413087774301,0.09336493030567976,0.07975173652250318,0.051016002762639026,0.07384475606384373,0.03570275881981515,0.050071481038262866,0.03473653745183377,0.04759346035854244,0.050332309152453764,0.06397879923107531,0.07178115151995802,0.06381812040527081,0.08570973937592431,0.052024478661534646,0.043315614387422166,0.09342814241668829,0.10217803567504824,0.09782129240695173,0.06398043879463024,0.045770598482711325,0.08696863367304986,0.1138710653449698,0.049646829411654464,0.06578635307931169,0.07399191996041318,0.05087617082169932,0.079274032703123,0.06245122643772834,0.058941710018351676,0.06846303505630424,0.05077008294544225,0.038253443440929825,0.04781285542551128,0.08484580431497027,0.09514486430780053,0.05591531800696017,0.04725939611828178,0.039180390260362734,0.04291361848934918,0.057616871119454696,0.09679733706253185,0.05889111828114231,0.06508962149446501,0.06932509311692574,0.06987253967576333,0.07394735013330075,0.08759709053765004,0.0577831834099798,0.05072761668714888,0.06919697667383234,0.08999044587762219,0.09368871269207076,0.08796322312046573,0.08891107844501038,0.09233050471226978,0.07045464467968506,0.05179764003823605,0.06505521194943696,0.07226870229330938,0.049574831666707904,0.07508192024054071,0.04101182866245881,0.060165292717027676,0.06760978190374269,0.06652757779608151,0.08612866369587363,0.06848051391242153,0.11367887866083529,0.08049016687846075,0.08143734314131214,0.036369060583485935,0.06999734487225369,0.08781674406872259,0.05727680338849661,0.06723299874406777,0.06491375799624916,0.05728648132489488,0.07002354692294274,0.0708496150973068,0.07188092062392501,0.08248395584412188,0.11007293884127313,0.08335811524181083,0.09460230356112348,0.09810821532652368,0.07257400883936177,0.07859491315322549,0.05456789920494866,0.0751348249565276,0.07200737427914179
What food will I end up choosing for dinner tomorrow?,0.33101849365516645,0.1708240001094513,0.9999999999999999,0.33623833641890394,0.3570302844268451,0.11068586399818899,0.08073440746754995,0.07907404265017463,0.06925736643044487,0.06707419031534297,0.10674700221622799,0.08705455357951511,0.06884219645993522,0.07533672811643428,0.05944395510090103,0.06036741620756744,0.07045897586395079,0.05991808377456683,0.06720988019883399,0.07859286685074086,0.08768350803299138,0.08137990591582514,0.08864698029060193,0.08589554316485198,0.07915503748483307,0.12519076964952897,0.11071115932627949,0.10356070936414274,0.11316386275962319,0.08199657531155655,0.07535229638578102,0.11291470028108144,0.07965160024466653,0.0845581845945566,0.08652341768816507,0.05455630438323176,0.07841238648783025,0.0640370331244451,0.07377339052538046,0.06856473430003043,0.10830142164776774,0.08118698979443947,0.1088485701734749,0.12023320562804608,0.13899406481569324,0.05889184761118094,0.06387398638182437,0.0897557538756768,0.04849206717236195,0.04962540688017498,0.06532927801729793,0.09333086098319388,0.07885247378442008,0.07006684936766533,0.06600482321777852,0.07693864452883703,0.09253245445004554,0.07687878548869717,0.042076788945642096,0.0925015798031559,0.08631043376891764,0.0994397455593455,0.11359411051460047,0.0978856948127661,0.10091395811839304,0.08969507095876922,0.07057632954208917,0.08121369068647935,0.08287601278049064,0.08400024362813933,0.07238132077991355,0.04586267740012215,0.06397244319452379,0.07573624852068651,0.08605304922572965,0.10580350057551302,0.09254992959201085,0.12805782672672214,0.08831671512707523,0.08254604429213819,0.057605205515843125,0.07662527894994109,0.08760749836510448,0.0688370281161953,0.07902056989675746,0.09388313248621254,0.08323586148056372,0.09731830598659554,0.08423394913234455,0.10773519055369307,0.09208547347613737,0.10436261039074247,0.09944516218079086,0.10577486153919194,0.10726433423379893,0.09347624914264382,0.09760096550273648,0.07239823328876131,0.10087012548891233,0.08548378684617383
What exactly will I have for dinner tomorrow night?,0.28892398847716916,0.2732334017787565,0.33623833641890394,1.0000000000000002,0.3378135815922999,0.07316459457185266,0.17208907122167155,0.17789768213970902,0.11198073336857989,0.06556424595072458,0.1205741280660087,0.10548479770222298,0.0639819714074849,0.05187092243654321,0.06375643406844439,0.0909238290396991,0.05707785797204426,0.08563546658297035,0.11394267203570208,0.10072880181256758,0.07187059801445882,0.06048611040809567,0.11434291658438381,0.055221190249546845,0.09796021846011596,0.1387438166082467,0.22560305687043808,0.14572630674992912,0.18441982475797247,0.13925086477117332,0.1505038541155673,0.2295888778409007,0.13407035150608365,0.16373431090423382,0.1047411267587818,0.07445293075473453,0.10804894219150735,0.11120336776766702,0.08171574208871368,0.08835557134924513,0.07837123240164544,0.08688487792740078,0.0664637206928243,0.17353984907022174,0.15878073706651272,0.09834057859264368,0.11272869514371761,0.0905914976250855,0.08481734753165898,0.04464718056108837,0.2084551615838542,0.12348329655793944,0.11769197532408478,0.11846357084259719,0.13326365507525956,0.14489089498816257,0.144977724544441,0.09817468253517321,0.06351287318598928,0.06194832578394764,0.2162709240714661,0.16942320735731475,0.19492395356286613,0.13721986115036175,0.21191932810592767,0.1355550152683242,0.09126858385453063,0.10018219744805282,0.15481456628434068,0.10098006192787826,0.11101462478196324,0.07723472014520626,0.08156872778375816,0.1294980320827897,0.11329801692435697,0.1373533859286889,0.0726359133105696,0.16039537911089657,0.0979299834170709,0.06914382998471494,0.05792051641550981,0.07526807115609613,0.0907549965109066,0.06310575566471575,0.08855016946533047,0.055105068829032794,0.10890513545604555,0.08571353338964219,0.0687174141745602,0.15051754137100315,0.1393999359217005,0.2622777204589715,0.11680375710849607,0.1250700612923269,0.23688718667429065,0.12839774590407185,0.11912125000622797,0.07496995621870264,0.09563366752458388,0.14281391923366263
What dinner choice will I make tomorrow evening?,0.37438346782344145,0.21576941608781025,0.3570302844268451,0.3378135815922999,1.0000000000000002,0.07778617460694673,0.08132923712051982,0.06776285432933675,0.06346737594751695,0.06778601848938187,0.10908068555706708,0.0727858062917749,0.07449296542138974,0.07485642977174096,0.056335734966500454,0.038259823554318645,0.04620802363915777,0.05018543893061916,0.0716079939559956,0.06466665305299207,0.0680690721425318,0.05450987922528508,0.1184705645921164,0.0465505536388189,0.059300501804364636,0.08255841714664891,0.14744786776735633,0.11671542864672402,0.12699186893055361,0.09332646232663196,0.07410257640124654,0.11377848210937808,0.05133817992448403,0.08067508055586287,0.06530818531926855,0.04675926112911644,0.07421655025695975,0.060620608901268136,0.04333063162525847,0.0672392319597396,0.07321869716693614,0.054509155935930545,0.05323326278731535,0.09783339969420571,0.12430723445499772,0.0763585118444276,0.06712860141642787,0.06015783393162388,0.06039091210673228,0.05874324322043015,0.09652772558249106,0.08347559271389873,0.10684007786964912,0.10255352368642255,0.07616478061808374,0.08777248486093304,0.10078653170949661,0.06862745082841853,0.055946233094770044,0.05861599190660129,0.10477771202326115,0.11471792666733056,0.16173841757125143,0.10634566409267313,0.11271745367803473,0.0704086821488448,0.060595290000976784,0.06544228840905339,0.07501822842304934,0.06480004733964964,0.09021818441499044,0.051599234420280686,0.056478008130092495,0.07671006344731963,0.08954087247059113,0.09019480722911236,0.07445853795372036,0.1059569872206243,0.08286981311639721,0.09024833489753652,0.07499349890932266,0.10248812131688805,0.11017288556173296,0.07120704961869558,0.09766237607494693,0.07056753314819814,0.06005102140648183,0.07504281053598348,0.04614191195482153,0.09837390846158432,0.09822093826919648,0.14023813213887953,0.10696841713441077,0.11390915139374075,0.12258385009201836,0.12648726925391773,0.11948914150446506,0.0696161871082189,0.108616110816935,0.10616848338289737
What number am I thinking of right now?,0.028890803542264115,0.05245664327599597,0.11068586399818899,0.07316459457185266,0.07778617460694673,1.0000000000000004,0.2690991747576422,0.23074823474856967,0.22465716291925433,0.28711290453368854,0.10048236864581869,0.10409460681479638,0.08713663372074314,0.08620028135832704,0.05598767277569044,0.06770831538967226,0.06494554687274959,0.09443265595596755,0.06261119747544511,0.07207213198133784,0.060959115363686374,0.056006746862929335,0.06952561688454686,0.0683642613064696,0.04409812524634178,0.15097789393692027,0.04999518272749562,0.08810038595792918,0.11892590147112567,0.08878632366970797,0.10158008647953447,0.13422132121042424,0.08912994032704373,0.07363349926533176,0.07417173829035276,0.04339592653762682,0.1092744575219161,0.05163832229962596,0.0495307054197617,0.11020767530825362,0.036813986452994524,0.042939616791347106,0.11343265248199663,0.10194750267040495,0.14847133652807024,0.11441306296823157,0.065524766017324,0.07809274902413893,0.09778007566290567,0.03361269488324428,0.11867464338267215,0.08138953938167147,0.0698215799422263,0.16412930930081926,0.07559226228780884,0.11559931133859647,0.056396704426940905,0.08471913975566764,0.04011477981315477,0.06120273358288924,0.06699275750104877,0.05459841348060584,0.07323547243015457,0.06327282140440238,0.11199649354870694,0.055923555955969984,0.07283035628563772,0.09979345026558897,0.06872142444712921,0.05403564197367018,0.05270856149792457,0.04009807511652845,0.06624662779195338,0.039818475875190426,0.037357170238791156,0.0883229485814915,0.07700710325309189,0.06933752248975422,0.07304990108176049,0.08393736938753088,0.06919022873075385,0.1090388116620958,0.11837172119867037,0.08110126442115692,0.057992787645374966,0.08275654628362167,0.16747236137616053,0.06336057646681131,0.10189107822632876,0.06876126881887604,0.08951841926091622,0.14319887470259915,0.09871030965741928,0.08651602087907713,0.10976490152356469,0.12820922957089495,0.09387893824856693,0.15291382196613834,0.10293297981405809,0.11081617737424068
Which exact number is currently in my mind?,0.07260191008214474,0.10628422777642657,0.08073440746754995,0.17208907122167155,0.08132923712051982,0.2690991747576422,1.0000000000000002,0.33985179408938454,0.3452630795216122,0.29144272583095493,0.13790050848589283,0.10279693649345226,0.08349424244710056,0.09921196411589046,0.140099803010237,0.1149405498933211,0.10686232606031318,0.10543888314790278,0.09053049588922163,0.12967524527797714,0.09473469168462181,0.08443098255061471,0.13032754611519343,0.06627088755497373,0.10177885367075422,0.20368699728924156,0.16403985331585208,0.15220763400474782,0.19437895626709065,0.11938908860085204,0.17021952667830803,0.18824974541297124,0.19593763538807954,0.13242314809555655,0.15202840310892443,0.10298824916510961,0.11015157127882522,0.10395901412739969,0.11525785017536509,0.12089079155207061,0.0953723191628365,0.07773452116463272,0.18854070866464442,0.168431267767723,0.167002439155785,0.10952169887198725,0.09391058167096057,0.09621727842409596,0.11473579009424179,0.08909114892824921,0.22921375765779092,0.1729016804825823,0.17382035791119854,0.17658096732429596,0.1387958502369381,0.14654259837874342,0.13049733697101276,0.14189810585710821,0.07892391908549286,0.10895447753157603,0.14029801681569737,0.15350883164797374,0.1265782059250479,0.10662128077685942,0.14014770127073573,0.08720582132924957,0.11868916907472347,0.1466316754239576,0.18005179879605215,0.12127832613513952,0.09656167937972644,0.07429328177761133,0.09921452914446117,0.09539658689496819,0.09324804004568345,0.16565918789468842,0.1643702736366978,0.16042612001849932,0.12997953206873278,0.16789046198825697,0.09005792269162163,0.1469976264624489,0.1409682330758149,0.10164073310896744,0.10104613941712445,0.12192195031560484,0.16561857233530752,0.11673816921346597,0.12651160333231726,0.11646465774394442,0.1332509074644255,0.22949111278224793,0.12636350691808798,0.12037865409932304,0.19055302982294428,0.1586379141251728,0.12786226585615945,0.13867075242783464,0.12803913414357562,0.12619985991675015
What number am I silently thinking about at this moment?,0.06552375330569996,0.05817658390673134,0.07907404265017463,0.17789768213970902,0.06776285432933675,0.23074823474856967,0.33985179408938454,0.9999999999999998,0.2928972588116265,0.3377615329593822,0.10450330870106389,0.12319898965729453,0.10637988241962315,0.11926352535782199,0.06893464139945185,0.1026521257171184,0.09726452754710962,0.09111855846734747,0.1004640182281551,0.11470320259355339,0.0710547610735171,0.06835433942889431,0.08060626791653452,0.054083220532993415,0.09931185122244421,0.16363413253503445,0.1544001477943045,0.12452385849772601,0.13033416197403525,0.12517781374521136,0.14322618921587957,0.15763114842074585,0.13235814926181796,0.13471918543764105,0.09138239972007693,0.060430809892851406,0.06754720279140003,0.07533545595024109,0.07604854102149658,0.10473431974032937,0.046269205236589006,0.1014021425724859,0.10430277877890795,0.15516387361837658,0.21941330452809332,0.08373203792798228,0.1201310063824996,0.10253974450720747,0.08353433760285278,0.08075491249450635,0.2830270871127833,0.2299405153928447,0.15424222674490748,0.22515630255800376,0.22477540147289146,0.1547963924402579,0.14520492487311346,0.2201695020837798,0.07549558623285156,0.11688900602183097,0.10123945096237878,0.1095681088340437,0.11871921584668671,0.08938542651995265,0.14646843284598401,0.11250245913667137,0.09677570752342562,0.1247523386182815,0.13745459885963113,0.10524486516027635,0.07186348822912181,0.06126760424856858,0.06086588017320695,0.07226067315306449,0.06970299848959637,0.18872347882376117,0.12946429805254864,0.17639863766523867,0.10373373098863668,0.13912754310021144,0.06942245348312788,0.10495575984647135,0.11425202379936376,0.08097344397355877,0.07900790431833332,0.0893113005199319,0.15337384015663424,0.09892350772791142,0.09477392700833535,0.12161131677717667,0.12049382214476953,0.25563063540925124,0.12845757212513464,0.11524266281918426,0.1708201749753831,0.13271595719985724,0.15300163467581324,0.17564997118371123,0.1377290958405932,0.16135877398077125
What specific number do I have in my head right now?,0.057330775100800396,0.07191512015141406,0.06925736643044487,0.11198073336857989,0.06346737594751695,0.22465716291925433,0.3452630795216122,0.2928972588116265,1.0,0.3194930769164445,0.11619436270550572,0.11446087269928522,0.08431934884914602,0.08839662563881688,0.09626458041819416,0.09772094637943068,0.11574283540861748,0.08220012965860515,0.07369844259041336,0.08917111444979109,0.11044582522210054,0.10200000702008245,0.1252036529979984,0.07114167083422265,0.08676418123817993,0.1245791934546214,0.12123826365063826,0.08874178296600026,0.15232618943453496,0.0730138169739874,0.1242276593440799,0.11988827972825472,0.10670091640694362,0.09895385989146256,0.09890391993198872,0.08477277969999177,0.08955781975991575,0.09128141072105211,0.09288010766529743,0.09824448985706401,0.10773045649699257,0.08879097266671296,0.13423153051284287,0.16892155952376775,0.11454910781181035,0.06985525950439032,0.10403374244620114,0.1026342738693885,0.07881998373571864,0.04471339114910825,0.13166697342165895,0.09093540637159375,0.12421116016244058,0.1104240430153803,0.10884339234472143,0.09173842668111692,0.14384348895476365,0.12364041922065994,0.05951954460117625,0.0628395466047021,0.0933322997998616,0.1317634932863282,0.11307816053446934,0.11235780061036393,0.1082971836128149,0.06750072224056355,0.06452392279341294,0.09821649883885764,0.12194189378669439,0.0813799501111777,0.06425360683319428,0.04283658363782142,0.055638977967970724,0.07103282297241642,0.07147703469222907,0.11228780104966879,0.10976358736990678,0.0968721265021477,0.09634911063038337,0.09215334053633477,0.054868749717138086,0.09051943110736058,0.08375643740040699,0.05942591758270428,0.05795985334126566,0.1178690040312631,0.14642617579937867,0.10318870364568997,0.1141762989877119,0.11363959459960175,0.12692677741220065,0.13630526389894526,0.09523945608646306,0.10562891706249677,0.13121128966706602,0.13137768886380508,0.1258866237009976,0.10739368216894515,0.1257229227371524,0.12726059955820895
Which number am I imagining right now?,0.04582785098417828,0.05558413087774301,0.06707419031534297,0.06556424595072458,0.06778601848938187,0.28711290453368854,0.29144272583095493,0.3377615329593822,0.3194930769164445,0.9999999999999999,0.06404929360334669,0.08859892560963151,0.04341630096039671,0.06621726475788352,0.06671487246600567,0.045435762502423,0.1177009690250626,0.0650179260886599,0.06288976268359267,0.061390710177358795,0.04802248037535662,0.03865467090193596,0.09078213223628234,0.04929700854617078,0.07591065710146287,0.1082061466598657,0.07964786856429489,0.07590944303644898,0.13070816991683185,0.09877377077657548,0.06780887198170124,0.11798847500365581,0.08315549658054464,0.0768026703233237,0.0798460061124927,0.05182461265949009,0.05461660376033385,0.047767728134961586,0.056481473825500096,0.062045695902027555,0.03882645506757483,0.041431555889852256,0.05625434053871982,0.08837265745983586,0.10561533641179316,0.04824608882162836,0.055060521791293816,0.045245200171413244,0.06711999869346373,0.04018611908002854,0.10240735874620638,0.05374323057490842,0.07992277524332865,0.1298965693619425,0.062145047468156994,0.08673511141092326,0.11607826008082234,0.07622938215674034,0.035596948712169896,0.06788630303374378,0.05645999433562199,0.10202711931290169,0.08078444945512638,0.04598729180257637,0.07519697993554746,0.05201322979490864,0.06640279697197933,0.06424296901866805,0.07399065678217559,0.054586789760381636,0.04276452320104604,0.02830254185037653,0.04058402246916497,0.03632940897654207,0.04781209637653257,0.07464287559672571,0.10477991723868074,0.06461788011931022,0.07121264632515231,0.08597320813691986,0.029885931121625298,0.0722293459639711,0.07186214475855707,0.04330555992506094,0.05811925918401901,0.08741573933418484,0.120496858930912,0.09368185375224139,0.09913444994634295,0.0895172731595546,0.05661964680399479,0.13078513131227143,0.10083107951790543,0.09874173498589833,0.11390550861584621,0.10056452304118353,0.12012694541345195,0.10555790266225881,0.08868492591602817,0.08472974225307663
