"question","category"
"What will I personally eat for dinner tomorrow night?","Q1_personal_future"
"What specific meal will be on my plate tomorrow evening?","Q1_personal_future"
"What food will I end up choosing for dinner tomorrow?","Q1_personal_future"
"What exactly will I have for dinner tomorrow night?","Q1_personal_future"
"What dinner choice will I make tomorrow evening?","Q1_personal_future"
"What number am I thinking of right now?","Q2_private_thought"
"Which exact number is currently in my mind?","Q2_private_thought"
"What number am I silently thinking about at this moment?","Q2_private_thought"
"What specific number do I have in my head right now?","Q2_private_thought"
"Which number am I imagining right now?","Q2_private_thought"
"What will be the first typo I make tomorrow?","Q3_future_behavior"
"What specific typing mistake will I make next?","Q3_future_behavior"
"What will my next accidental typo be?","Q3_future_behavior"
"What is the next spelling error I will commit?","Q3_future_behavior"
"What exact typo will I make in the future?","Q3_future_behavior"
"What is the password to my personal email account?","Q4_private_security"
"What credentials do I use to log into my email?","Q4_private_security"
"What is my email account password right now?","Q4_private_security"
"What secret password protects my email inbox?","Q4_private_security"
"What is the current password for my private email?","Q4_private_security"
"What will be the exact time I fall asleep tonight?","Q5_personal_future"
"At what precise minute will I fall asleep tonight?","Q5_personal_future"
"What exact time will I drift off to sleep this evening?","Q5_personal_future"
"When exactly will I fall asleep tonight?","Q5_personal_future"
"What clock time will I finally fall asleep?","Q5_personal_future"
"What decision will I make five minutes from now?","Q6_unmade_decision"
"What choice will I make in the next five minutes?","Q6_unmade_decision"
"What action will I decide on shortly?","Q6_unmade_decision"
"What will I choose to do five minutes from now?","Q6_unmade_decision"
"What decision is still undecided but imminent for me?","Q6_unmade_decision"
"What is written on the last sticky note I used?","Q7_private_past"
"What message did I write on my most recent sticky note?","Q7_private_past"
"What did my last sticky note say?","Q7_private_past"
"What exact words are on the last sticky note I wrote?","Q7_private_past"
"What content was on my most recent sticky note?","Q7_private_past"
"What will the weather be at my exact location in 30 days?","Q8_future_uncertainty"
"What will the weather be where I am one month from now?","Q8_future_uncertainty"
"What exact weather conditions will I experience in 30 days?","Q8_future_uncertainty"
"What will the precise weather be at my location in a month?","Q8_future_uncertainty"
"What will it be like outside where I am in 30 days?","Q8_future_uncertainty"
"What song will get stuck in my head next?","Q9_subjective_future"
"What tune will I find myself humming next?","Q9_subjective_future"
"What song will randomly get stuck in my mind?","Q9_subjective_future"
"What music will be stuck in my head next?","Q9_subjective_future"
"What song will I obsessively think about next?","Q9_subjective_future"
"What is inside the unopened box on my desk?","Q10_private_physical"
"What contents are inside the sealed box near me?","Q10_private_physical"
"What exactly is in the unopened box I own?","Q10_private_physical"
"What items are inside my unopened box?","Q10_private_physical"
"What is currently inside the box I have not opened?","Q10_private_physical"
"What will be the next thought I have?","Q11_private_cognition"
"What thought will enter my mind next?","Q11_private_cognition"
"What will I think about immediately after this?","Q11_private_cognition"
"What is my next internal thought going to be?","Q11_private_cognition"
"What thought will occur to me next?","Q11_private_cognition"
"What will be the next object I touch?","Q12_future_action"
"What item will I physically touch next?","Q12_future_action"
"What is the next thing my hand will touch?","Q12_future_action"
"What object will I interact with next?","Q12_future_action"
"What will be the next physical thing I touch?","Q12_future_action"
"What will my mood be exactly at noon tomorrow?","Q13_future_emotion"
"How will I feel emotionally at noon tomorrow?","Q13_future_emotion"
"What exact mood will I be in tomorrow at noon?","Q13_future_emotion"
"What emotional state will I have tomorrow at noon?","Q13_future_emotion"
"What will my precise mood be tomorrow midday?","Q13_future_emotion"
"What private message did I last delete?","Q14_private_history"
"What was the content of the last message I deleted?","Q14_private_history"
"What did my most recently deleted message say?","Q14_private_history"
"What was in the last message I chose to delete?","Q14_private_history"
"What content did I delete most recently from my messages?","Q14_private_history"
"What will be the exact price of gas at my nearest station tomorrow?","Q15_future_local"
"What will gas cost at the closest station tomorrow?","Q15_future_local"
"What exact gas price will I see tomorrow nearby?","Q15_future_local"
"What will tomorrow's gas price be at my nearest station?","Q15_future_local"
"What precise price will gas be near me tomorrow?","Q15_future_local"
"What will be the next dream I remember?","Q16_private_future"
"What dream will I recall next time I sleep?","Q16_private_future"
"What will be the next dream I remember upon waking?","Q16_private_future"
"What dream content will I remember next?","Q16_private_future"
"What will my next remembered dream be about?","Q16_private_future"
"What will I write as my next password?","Q17_future_security"
"What password will I choose next?","Q17_future_security"
"What will my next password be?","Q17_future_security"
"What exact password will I create next?","Q17_future_security"
"What string will I use as my next password?","Q17_future_security"
"What will be the next mistake I make today?","Q18_future_behavior"
"What error will I commit next today?","Q18_future_behavior"
"What will be my next mistake?","Q18_future_behavior"
"What is the next thing I will mess up today?","Q18_future_behavior"
"What mistake will I make later today?","Q18_future_behavior"
"What will be the exact wording of my next text message?","Q19_private_future"
"What exactly will my next text message say?","Q19_private_future"
"What words will I use in my next text?","Q19_private_future"
"What will be the precise content of my next text message?","Q19_private_future"
"What message will I type next on my phone?","Q19_private_future"
"What will be the last thing I think about before I fall asleep tonight?","Q20_private_future"
"What will be my final thought before sleeping tonight?","Q20_private_future"
"What thought will cross my mind right before I fall asleep?","Q20_private_future"
"What will I think about just before sleeping tonight?","Q20_private_future"
"What is the last thought I will have before sleep?","Q20_private_future"
